Hollywood SA,0.94,0,0.94,0.94,0.94,2989,2810,2018-12-11 09:29
HubStyle SA,0.43,0,0,0,0,0,0,2018-12-10
Hydrotor SA,34.8,0,34.8,34.8,34.8,1,35,2018-12-11 09:00
Hyperion SA w upadłości,0.28,0,0,0,0,0,0,2018-12-10
i2 Development SA,11.2,0,0,0,0,0,0,2018-12-10
IBSM SA,15,0,0,0,0,0,0,2018-12-10
Idea Bank SA,2.1,0,2.1,2.1,2.14,4230,8924,2018-12-11 09:20
IDM SA w upadłości układowej,1.13,0,1.13,1.13,1.13,996,1125,2018-12-11 09:03
iFirma SA,2.22,0,0,0,0,0,0,2018-12-10
IMC SA,13.9,6.11,13.9,13.9,13.9,1,14,2018-12-11 09:00
Immofinanz AG,89.5,0,0,0,0,0,0,2018-12-10
Impel SA,7.4,0,7.4,7.4,7.4,1,7,2018-12-11 09:15
Impera Capital SA,1.09,0,1.09,1.09,1.09,3,3,2018-12-11 09:00
Impexmetal SA,3.33,0.6,3.33,3.31,3.37,2729,9098,2018-12-11 09:28
IMS SA,3.36,0,3.36,3.36,3.36,2,7,2018-12-11 09:15
INC SA,0.93,0,0.93,0.93,0.93,10,9,2018-12-11 09:00
Indata SA w upadłości,0.31,0,0,0,0,0,0,2018-12-10
IndygoTech Minerals SA,0.25,0,0,0,0,0,0,2018-12-10
Indykpol SA,66,1.54,66,66,66,1,66,2018-12-11 09:07
ING Bank Śląski SA,180,0,0,0,0,0,0,2018-12-10
Inpro SA,4.5,5.14,4.5,4.5,4.5,1,5,2018-12-11 09:00
Instal Kraków SA,12,0,0,0,0,0,0,2018-12-10
Inter Cars SA,203,0,203,203,203,1,203,2018-12-11 09:00
Inter Rao Lietuva AB,10.6,0,0,0,0,0,0,2018-12-10
Interbud-Lublin SA,0.25,0,0,0,0,0,0,2018-12-10
Interferie SA,3.72,0,0,0,0,0,0,2018-12-10
Interma Trade SA,1.05,0,1.03,1.03,1.09,2552,2735,2018-12-11 09:26
Intersport Polska SA,1.94,0,1.94,1.94,1.94,1,2,2018-12-11 09:00
Introl SA,3.78,0,0,0,0,0,0,2018-12-10
Invista SA,0.87,0,0.87,0.87,0.87,20,17,2018-12-11 09:00
IPF plc,9.3,0,0,0,0,0,0,2018-12-10
Ipopema Securities SA,1.16,0,1.16,1.16,1.16,2,2,2018-12-11 09:15
IQ Partners SA,0.4,-2.44,0.4,0.4,0.4,2431,972,2018-12-11 09:00
Izoblok SA,31.7,1.93,31.7,31.7,31.8,673,21339,2018-12-11 09:07
Izolacja Jarocin SA,1.73,0,1.73,1.73,1.73,1,2,2018-12-11 09:02
Izostal SA,3.08,0,3.08,3.08,3.08,40,123,2018-12-11 09:12
J.W. Construction Holding SA,2.37,-0.42,2.47,2.37,2.47,1001,2372,2018-12-11 09:13
JHM Development SA,1.59,0,1.59,1.59,1.59,1,2,2018-12-11 09:00
JJ Auto AG,9.7,0,0,0,0,0,0,2018-12-10
JSW SA,67.1,1.67,66.74,66.74,67.1,9443,631980,2018-12-11 09:27
JWW Invest SA,1.02,0,0,0,0,0,0,2018-12-10
K2 Internet SA,11.85,1.72,11.85,11.85,11.85,1,12,2018-12-11 09:00
KB Dom SA,0.55,0,0,0,0,0,0,2018-12-10
KCI SA,0.46,0,0.46,0.46,0.46,17,8,2018-12-11 09:00
KDM Shipping Public Ltd.,1.37,0,0,0,0,0,0,2018-12-10
Kernel Holding SA,52,-1.52,52.2,52,52.2,240,12516,2018-12-11 09:01
KGHM Polska Miedź SA,86.98,1.38,86.66,86.66,87.32,55201,4806344,2018-12-11 09:29
Kino Polska TV SA,11.2,0,0,0,0,0,0,2018-12-10
Kogeneracja SA,44.5,-1.11,45,44.5,45,21,935,2018-12-11 09:20
Kompap SA,6.25,0,0,0,0,0,0,2018-12-10
Komputronik SA,3.34,2.14,3.27,3.27,3.34,33,108,2018-12-11 09:00
Konsorcjum Stali SA,27.9,0,27.9,27.9,27.9,1,28,2018-12-11 09:00
Korporacja KGL SA,16.6,0,16.6,16.6,16.6,1,17,2018-12-11 09:00
KPPD SA,21.6,0,0,0,0,0,0,2018-12-10
Krakchemia SA,1.15,0,0,0,0,0,0,2018-12-10
Kredyt Inkaso SA,12.9,0,0,0,0,0,0,2018-12-10
Krezus SA,0.53,-1.85,0.55,0.53,0.55,130095,70055,2018-12-11 09:28
KRKA DD,234,0,0,0,0,0,0,2018-12-10
Kruk SA,166.8,0.48,165.4,165.4,166.8,200,33249,2018-12-11 09:26
Kruszwica SA,41.4,1.22,41.4,41.4,41.4,10,414,2018-12-11 09:00
Krynica Vitamin SA,5.64,-5.37,5.98,5.64,5.98,4,24,2018-12-11 09:04
Krynicki Recykling SA,4.93,0,4.93,4.93,4.93,1,5,2018-12-11 09:00
KSG Agro SA,0.75,0,0,0,0,0,0,2018-12-10
Labo Print SA,13.8,3.37,13.8,13.8,13.8,1,14,2018-12-11 09:00
Lark.pl SA,0.15,0,0,0,0,0,0,2018-12-10
Larq SA,6.6,0,6.6,6.6,6.6,1,7,2018-12-11 09:00
LC Corp SA,2.41,0,2.41,2.41,2.41,1258,3032,2018-12-11 09:00
Lena Lighting SA,2.64,-2.22,2.64,2.64,2.64,1000,2640,2018-12-11 09:00
Lentex SA,7.4,0.27,7.2,7.2,7.4,1734,12489,2018-12-11 09:19
Libet SA,1.17,0,1.17,1.17,1.17,1,1,2018-12-11 09:00
LiveChat Software SA,26.4,0,26.4,26.4,26.4,134,3538,2018-12-11 09:17
Lokum Deweloper SA,17.3,0,17.3,17.3,17.3,5,87,2018-12-11 09:12
LPP SA,7615,-2.12,7795,7580,7795,135,1029855,2018-12-11 09:25
LSI Software SA,12.3,0,0,0,0,0,0,2018-12-10
Lubawa SA,0.65,0,0.64,0.64,0.65,20956,13513,2018-12-11 09:26
LW Bogdanka SA,55,0.55,55,55,55,199,10945,2018-12-11 09:09
Mabion SA,91.5,-0.22,91.5,91.5,91.5,1,92,2018-12-11 09:00
Makarony Polskie SA,4.42,0,0,0,0,0,0,2018-12-10
Mangata Holding SA,68,-1.73,68,68,68,1,68,2018-12-11 09:05
Marie Brizard Wine & Spirits,18.6,0,18.6,18.6,18.6,1,19,2018-12-11 09:00
Marvipol Development SA,3.3,0,0,0,0,0,0,2018-12-10
Master Pharm SA,5.8,0,5.8,5.8,5.8,1,6,2018-12-11 09:00
Maxcom SA,16.05,2.56,16.05,16.05,16.05,1,16,2018-12-11 09:01
mBank SA,404.4,0.95,400.6,400.6,404.8,36,14513,2018-12-11 09:29
MCI Capital SA,9.48,0,0,0,0,0,0,2018-12-10
MDI Energia SA,3.24,-1.82,3.24,3.24,3.24,1,3,2018-12-11 09:00
Mediacap SA,1.74,0,0,0,0,0,0,2018-12-10
Mediatel SA,0.74,0,0,0,0,0,0,2018-12-10
Medicalgorithmics SA,28.55,-0.17,28.6,28.55,28.6,130,3717,2018-12-11 09:28
Megaron SA,12.5,0,0,0,0,0,0,2018-12-10
Mennica Polska SA,18.8,0,18.8,18.8,18.8,81,1523,2018-12-11 09:27
Mercator Medical SA,11.5,-4.17,12.2,11.5,12.2,777,9053,2018-12-11 09:27
Mercor SA,8.3,0,8.3,8.3,8.3,174,1444,2018-12-11 09:00
Mex Polska SA,3.6,-2.17,3.6,3.6,3.6,1,4,2018-12-11 09:03
MFO SA,19.4,0,0,0,0,0,0,2018-12-10
Milkiland NV,0.3,0,0,0,0,0,0,2018-12-10
Miraculum SA,1.78,-1.11,1.78,1.78,1.78,12,21,2018-12-11 09:12
